TimeStamp,Antenna_ID,RSSI,Phase,Label
2025-02-26T13:05:55.6117180+00:00,1,-73.5,4.135612204,S1
2025-02-26T13:05:55.6117180+00:00,1,-73.5,4.135612204,S1
2025-02-26T13:05:55.9095840+00:00,1,-71,0.91425255,S1
2025-02-26T13:05:55.9095840+00:00,1,-71,0.91425255,S1
2025-02-26T13:05:55.9095840+00:00,1,-71,0.91425255,S1
2025-02-26T13:05:55.9095840+00:00,1,-71,0.91425255,S1
2025-02-26T13:05:55.9694240+00:00,1,-72,1.325359401,S1
2025-02-26T13:05:55.9694240+00:00,1,-72,1.325359401,S1
2025-02-26T13:05:55.9694240+00:00,1,-72,1.325359401,S1
2025-02-26T13:05:55.9694240+00:00,1,-72,1.325359401,S1
2025-02-26T13:05:56.3032940+00:00,1,-69.5,1.668971097,S1
2025-02-26T13:05:56.3032940+00:00,1,-69.5,1.668971097,S1
2025-02-26T13:05:56.3032940+00:00,1,-69.5,1.668971097,S1
2025-02-26T13:05:56.3032940+00:00,1,-69.5,1.668971097,S1
2025-02-26T13:05:56.3902050+00:00,1,-69.5,1.441941941,S1
2025-02-26T13:05:56.3902050+00:00,1,-69.5,1.441941941,S1
2025-02-26T13:05:56.3902050+00:00,1,-69.5,1.441941941,S1
2025-02-26T13:05:56.3902050+00:00,1,-69.5,1.441941941,S1
2025-02-26T13:05:56.7115850+00:00,1,-70.5,1.687378867,S1
2025-02-26T13:05:56.7115850+00:00,1,-70.5,1.687378867,S1
2025-02-26T13:05:56.7115850+00:00,1,-70.5,1.687378867,S1
2025-02-26T13:05:56.7115850+00:00,1,-70.5,1.687378867,S1
2025-02-26T13:05:56.8131970+00:00,1,-72.5,1.859184715,S1
2025-02-26T13:05:56.8131970+00:00,1,-72.5,1.859184715,S1
2025-02-26T13:05:56.8131970+00:00,1,-72.5,1.859184715,S1
2025-02-26T13:05:56.8131970+00:00,1,-72.5,1.859184715,S1
2025-02-26T13:05:57.1324290+00:00,1,-73.5,5.301437603,S1
2025-02-26T13:05:57.1324290+00:00,1,-73.5,5.301437603,S1
2025-02-26T13:05:57.1324290+00:00,1,-73.5,5.301437603,S1
2025-02-26T13:05:57.1324290+00:00,1,-73.5,5.301437603,S1
2025-02-26T13:05:57.2183820+00:00,1,-74.5,5.264622064,S1
2025-02-26T13:05:57.2183820+00:00,1,-74.5,5.264622064,S1
2025-02-26T13:05:57.2183820+00:00,1,-74.5,5.264622064,S1
2025-02-26T13:05:57.2183820+00:00,1,-74.5,5.264622064,S1
2025-02-26T13:05:57.5247800+00:00,1,-70,2.724349879,S1
2025-02-26T13:05:57.5247800+00:00,1,-70,2.724349879,S1
2025-02-26T13:05:57.5247800+00:00,1,-70,2.724349879,S1
2025-02-26T13:05:57.5247800+00:00,1,-70,2.724349879,S1
2025-02-26T13:05:57.6798490+00:00,1,-69,3.067961576,S1
2025-02-26T13:05:57.6798490+00:00,1,-69,3.067961576,S1
2025-02-26T13:05:57.6798490+00:00,1,-69,3.067961576,S1
2025-02-26T13:05:57.6798490+00:00,1,-69,3.067961576,S1
2025-02-26T13:05:58.0134130+00:00,1,-69.5,2.797980957,S1
2025-02-26T13:05:58.0134130+00:00,1,-69.5,2.797980957,S1
2025-02-26T13:05:58.0134130+00:00,1,-69.5,2.797980957,S1
2025-02-26T13:05:58.0134130+00:00,1,-69.5,2.797980957,S1
2025-02-26T13:05:58.0801940+00:00,1,-71,2.896155728,S1
2025-02-26T13:05:58.0801940+00:00,1,-71,2.896155728,S1
2025-02-26T13:05:58.0801940+00:00,1,-71,2.896155728,S1
2025-02-26T13:05:58.0801940+00:00,1,-71,2.896155728,S1
2025-02-26T13:05:58.4353190+00:00,1,-68.5,0.883572934,S1
2025-02-26T13:05:58.4353190+00:00,1,-68.5,0.883572934,S1
2025-02-26T13:05:58.4353190+00:00,1,-68.5,0.883572934,S1
2025-02-26T13:05:58.4353190+00:00,1,-68.5,0.883572934,S1
2025-02-26T13:05:58.5097750+00:00,1,-70,4.417864669,S1
2025-02-26T13:05:58.5097750+00:00,1,-70,4.417864669,S1
2025-02-26T13:05:58.5097750+00:00,1,-70,4.417864669,S1
2025-02-26T13:05:58.5097750+00:00,1,-70,4.417864669,S1
2025-02-26T13:05:58.8125860+00:00,1,-68,1.914408023,S1
2025-02-26T13:05:58.8125860+00:00,1,-68,1.914408023,S1
2025-02-26T13:05:58.8125860+00:00,1,-68,1.914408023,S1
2025-02-26T13:05:58.8125860+00:00,1,-68,1.914408023,S1
2025-02-26T13:05:58.8665760+00:00,1,-68,1.711922559,S1
2025-02-26T13:05:58.8665760+00:00,1,-68,1.711922559,S1
2025-02-26T13:05:58.8665760+00:00,1,-68,1.711922559,S1
2025-02-26T13:05:58.8665760+00:00,1,-68,1.711922559,S1
2025-02-26T13:05:59.2287870+00:00,1,-72,0.012271846,S1
2025-02-26T13:05:59.2287870+00:00,1,-72,0.012271846,S1
2025-02-26T13:05:59.2287870+00:00,1,-72,0.012271846,S1
2025-02-26T13:05:59.2287870+00:00,1,-72,0.012271846,S1
2025-02-26T13:05:59.3249600+00:00,1,-72,0.153398079,S1
2025-02-26T13:05:59.3249600+00:00,1,-72,0.153398079,S1
2025-02-26T13:05:59.3249600+00:00,1,-72,0.153398079,S1
2025-02-26T13:05:59.3249600+00:00,1,-72,0.153398079,S1
2025-02-26T13:05:59.6481750+00:00,1,-71.5,2.840932419,S1
2025-02-26T13:05:59.6481750+00:00,1,-71.5,2.840932419,S1
2025-02-26T13:05:59.6481750+00:00,1,-71.5,2.840932419,S1
2025-02-26T13:05:59.6481750+00:00,1,-71.5,2.840932419,S1
2025-02-26T13:05:59.7309420+00:00,1,-71.5,3.018874191,S1
2025-02-26T13:05:59.7309420+00:00,1,-71.5,3.018874191,S1
2025-02-26T13:05:59.7309420+00:00,1,-71.5,3.018874191,S1
2025-02-26T13:05:59.7309420+00:00,1,-71.5,3.018874191,S1
2025-02-26T13:06:00.0257620+00:00,1,-69.5,2.626175109,S1
2025-02-26T13:06:00.0257620+00:00,1,-69.5,2.626175109,S1
2025-02-26T13:06:00.0257620+00:00,1,-69.5,2.626175109,S1
2025-02-26T13:06:00.0257620+00:00,1,-69.5,2.626175109,S1
2025-02-26T13:06:00.1072930+00:00,1,-69.5,2.343922644,S1
2025-02-26T13:06:00.1072930+00:00,1,-69.5,2.343922644,S1
2025-02-26T13:06:00.1072930+00:00,1,-69.5,2.343922644,S1
2025-02-26T13:06:00.1072930+00:00,1,-69.5,2.343922644,S1
2025-02-26T13:06:00.3867390+00:00,1,-65,2.043262409,S1
2025-02-26T13:06:00.3867390+00:00,1,-65,2.043262409,S1
2025-02-26T13:06:00.3867390+00:00,1,-65,2.043262409,S1
2025-02-26T13:06:00.3867390+00:00,1,-65,2.043262409,S1
2025-02-26T13:06:00.4776720+00:00,1,-64.5,1.822369176,S1
2025-02-26T13:06:00.4776720+00:00,1,-64.5,1.822369176,S1
2025-02-26T13:06:00.4776720+00:00,1,-64.5,1.822369176,S1
2025-02-26T13:06:00.4776720+00:00,1,-64.5,1.822369176,S1
2025-02-26T13:06:00.7810880+00:00,1,-66.5,2.429825568,S1
2025-02-26T13:06:00.7810880+00:00,1,-66.5,2.429825568,S1
2025-02-26T13:06:00.7810880+00:00,1,-66.5,2.429825568,S1
2025-02-26T13:06:00.7810880+00:00,1,-66.5,2.429825568,S1
2025-02-26T13:06:00.8477130+00:00,1,-69.5,2.914563497,S1
2025-02-26T13:06:00.8477130+00:00,1,-69.5,2.914563497,S1
2025-02-26T13:06:00.8477130+00:00,1,-69.5,2.914563497,S1
2025-02-26T13:06:00.8477130+00:00,1,-69.5,2.914563497,S1
2025-02-26T13:06:01.6441730+00:00,1,-68.5,5.95798138,S1
2025-02-26T13:06:01.6441730+00:00,1,-68.5,5.95798138,S1
2025-02-26T13:06:01.6441730+00:00,1,-68.5,5.95798138,S1
2025-02-26T13:06:01.6441730+00:00,1,-68.5,5.95798138,S1
2025-02-26T13:06:01.7556200+00:00,1,-66,0.411106851,S1
2025-02-26T13:06:01.7556200+00:00,1,-66,0.411106851,S1
2025-02-26T13:06:01.7556200+00:00,1,-66,0.411106851,S1
2025-02-26T13:06:01.7556200+00:00,1,-66,0.411106851,S1
2025-02-26T13:06:02.0825350+00:00,1,-66.5,1.288543862,S1
2025-02-26T13:06:02.0825350+00:00,1,-66.5,1.288543862,S1
2025-02-26T13:06:02.0825350+00:00,1,-66.5,1.288543862,S1
2025-02-26T13:06:02.0825350+00:00,1,-66.5,1.288543862,S1
2025-02-26T13:06:02.1455940+00:00,1,-66.5,1.405126402,S1
2025-02-26T13:06:02.1455940+00:00,1,-66.5,1.405126402,S1
2025-02-26T13:06:02.1455940+00:00,1,-66.5,1.405126402,S1
2025-02-26T13:06:02.1455940+00:00,1,-66.5,1.405126402,S1
2025-02-26T13:06:02.4605460+00:00,1,-67.5,1.595340019,S1
2025-02-26T13:06:02.4605460+00:00,1,-67.5,1.595340019,S1
2025-02-26T13:06:02.4605460+00:00,1,-67.5,1.595340019,S1
2025-02-26T13:06:02.4605460+00:00,1,-67.5,1.595340019,S1
2025-02-26T13:06:02.6549280+00:00,1,-67.5,1.325359401,S1
2025-02-26T13:06:02.6549280+00:00,1,-67.5,1.325359401,S1
2025-02-26T13:06:02.6549280+00:00,1,-67.5,1.325359401,S1
2025-02-26T13:06:02.6549280+00:00,1,-67.5,1.325359401,S1
2025-02-26T13:06:03.0876380+00:00,1,-64,0.570640853,S1
2025-02-26T13:06:03.0876380+00:00,1,-64,0.570640853,S1
2025-02-26T13:06:03.0876380+00:00,1,-64,0.570640853,S1
2025-02-26T13:06:03.0876380+00:00,1,-64,0.570640853,S1
2025-02-26T13:06:03.1759090+00:00,1,-65,0.705631162,S1
2025-02-26T13:06:03.1759090+00:00,1,-65,0.705631162,S1
2025-02-26T13:06:03.1759090+00:00,1,-65,0.705631162,S1
2025-02-26T13:06:03.1759090+00:00,1,-65,0.705631162,S1
2025-02-26T13:06:03.5272640+00:00,1,-65.5,0.282252465,S1
2025-02-26T13:06:03.5272640+00:00,1,-65.5,0.282252465,S1
2025-02-26T13:06:03.5272640+00:00,1,-65.5,0.282252465,S1
2025-02-26T13:06:03.5272640+00:00,1,-65.5,0.282252465,S1
2025-02-26T13:06:03.6229460+00:00,1,-65,0.294524311,S1
2025-02-26T13:06:03.6229460+00:00,1,-65,0.294524311,S1
2025-02-26T13:06:03.6229460+00:00,1,-65,0.294524311,S1
2025-02-26T13:06:03.6229460+00:00,1,-65,0.294524311,S1
2025-02-26T13:06:03.9609540+00:00,1,-69,0.760854471,S1
2025-02-26T13:06:03.9609540+00:00,1,-69,0.760854471,S1
2025-02-26T13:06:03.9609540+00:00,1,-69,0.760854471,S1
2025-02-26T13:06:03.9609540+00:00,1,-69,0.760854471,S1
2025-02-26T13:06:04.0795340+00:00,1,-70.5,0.944932165,S1
2025-02-26T13:06:04.0795340+00:00,1,-70.5,0.944932165,S1
