Timestamp,Antenna_ID,RSSI,Phase,Platform_ID
2025-03-28T19:05:29.6573830+00:00,9,-55.5,1.374446786,K1
2025-03-28T19:05:29.9335190+00:00,17,-71,0.619728238,K1
2025-03-28T19:05:30.3521200+00:00,9,-55,1.294679785,K1
2025-03-28T19:05:31.0761690+00:00,9,-66,1.564660404,K1
2025-03-28T19:05:31.3014420+00:00,17,-71.5,5.338253142,K1
2025-03-28T19:05:31.6926120+00:00,9,-60.5,0.042951462,K1
2025-03-28T19:05:31.9126880+00:00,17,-69.5,5.267690026,K1
2025-03-28T19:05:32.3569440+00:00,9,-63.5,5.967185265,K1
2025-03-28T19:05:32.5304900+00:00,17,-69,2.061670179,K1
2025-03-28T19:05:32.9966480+00:00,9,-63,5.896622149,K1
2025-03-28T19:05:33.1522320+00:00,17,-69,4.939418137,K1
2025-03-28T19:05:33.3803440+00:00,17,-69.5,1.785553637,K1
2025-03-28T19:05:33.8014630+00:00,9,-63,5.875146418,K1
2025-03-28T19:05:34.0039760+00:00,17,-68.5,4.988505522,K1
2025-03-28T19:05:34.4236830+00:00,9,-63,5.887418264,K1
2025-03-28T19:05:34.6102780+00:00,17,-70,5.418020143,K1
2025-03-28T19:05:35.1187040+00:00,9,-64,5.049864754,K1
2025-03-28T19:05:35.3516360+00:00,17,-72,5.154175447,K1
2025-03-28T19:05:35.8525980+00:00,9,-66,1.165825399,K1
2025-03-28T19:05:36.1504680+00:00,17,-70.5,5.301437603,K1
2025-03-28T19:05:36.6229680+00:00,9,-66.5,1.727262367,K1
2025-03-28T19:05:36.8286200+00:00,17,-70.5,4.914874444,K1
2025-03-28T19:05:37.4884590+00:00,9,-66,1.945087639,K1
2025-03-28T19:05:37.7291860+00:00,17,-72.5,1.779417714,K1
2025-03-28T19:05:38.2479290+00:00,9,-59,1.276272016,K1
2025-03-28T19:05:38.9443440+00:00,9,-57.5,1.920543946,K1
2025-03-28T19:05:39.2453760+00:00,17,-75,5.7248163,K1
2025-03-28T19:05:39.6377470+00:00,9,-58.5,2.135301257,K1
