Timestamp,Antenna_ID,RSSI,Phase,Platform_ID,RSSI_KF,Phase_KF
2025-03-28 19:05:29.657383+00:00,9,-55.5,1.374446786,K1,-55.5,1.374446786
2025-03-28 19:05:29.933519+00:00,17,-71.0,0.619728238,K1,-55.94035181494508,1.271314046793174
2025-03-28 19:05:30.352120+00:00,9,-55.0,1.294679785,K1,-55.90556909219685,1.2743024021307499
2025-03-28 19:05:31.076169+00:00,9,-66.0,1.564660404,K1,-56.358608924603715,1.3094891758394562
2025-03-28 19:05:31.301442+00:00,17,-71.5,5.338253142,K1,-57.14634029091172,1.7767073608003408
2025-03-28 19:05:31.692612+00:00,9,-60.5,0.042951462,K1,-57.34220276761212,1.5827393523493067
2025-03-28 19:05:31.912688+00:00,17,-69.5,5.267690026,K1,-58.12058447817133,1.9830611964636122
2025-03-28 19:05:32.356944+00:00,9,-63.5,5.967185265,K1,-58.49134165480857,2.4055971841530885
2025-03-28 19:05:32.530490+00:00,17,-69.0,2.061670179,K1,-59.26003400073983,2.3698333319044877
2025-03-28 19:05:32.996648+00:00,9,-63.0,5.896622149,K1,-59.54713450548521,2.7307058486193556
2025-03-28 19:05:33.152232+00:00,17,-69.0,4.939418137,K1,-60.30183543949388,2.9537433113634552
2025-03-28 19:05:33.380344+00:00,17,-69.5,1.785553637,K1,-61.06006504673006,2.8370476936163147
2025-03-28 19:05:33.801463+00:00,9,-63.0,5.875146418,K1,-61.224206452036505,3.1378601515951674
2025-03-28 19:05:34.003976+00:00,17,-68.5,4.988505522,K1,-61.853083266943024,3.3197742110640447
2025-03-28 19:05:34.423683+00:00,9,-63.0,5.887418264,K1,-61.95395745917846,3.5706723137798786
2025-03-28 19:05:34.610278+00:00,17,-70.0,5.418020143,K1,-62.67177537109535,3.7503101878756198
2025-03-28 19:05:35.118704+00:00,9,-64.0,5.049864754,K1,-62.791659414535715,3.876177530969909
2025-03-28 19:05:35.351636+00:00,17,-72.0,5.154175447,K1,-63.63075081348678,3.999553732948983
2025-03-28 19:05:35.852598+00:00,9,-66.0,1.165825399,K1,-63.84833371206442,3.726719514168156
2025-03-28 19:05:36.150468+00:00,17,-70.5,5.301437603,K1,-64.46310799723436,3.8780035222799345
2025-03-28 19:05:36.622968+00:00,9,-66.5,1.727262367,K1,-64.65235171419323,3.671750614947016
2025-03-28 19:05:36.828620+00:00,17,-70.5,4.914874444,K1,-65.19797310115503,3.790789548828216
2025-03-28 19:05:37.488459+00:00,9,-66.0,1.945087639,K1,-65.27306947498057,3.614261244727798
2025-03-28 19:05:37.729186+00:00,17,-72.5,1.779417714,K1,-65.95169183939822,3.4389440510550893
